TimeRemaining,AwayPlay,Score,HomePlay
11:43.0, ,0-0,N. Jokić misses 2-pt hook shot from 8 ft
11:41.0,Defensive rebound by K. Thompson,0-0, 
11:28.0,J. Kuminga misses 2-pt jump shot from 8 ft,0-0, 
11:23.0, ,0-0,Defensive rebound by A. Gordon
11:19.0, ,0-2,A. Gordon makes 2-pt dunk from 1 ft
10:55.0,Turnover by K. Thompson (step out of bounds),0-2, 
10:42.0, ,0-4,J. Murray makes 2-pt jump shot from 13 ft
10:28.0,K. Looney misses 2-pt layup from 1 ft,0-4, 
10:26.0, ,0-4,Defensive rebound by M. Porter
10:22.0, ,0-4,A. Gordon misses 3-pt jump shot from 25 ft
10:19.0,Defensive rebound by J. Kuminga,0-4, 
10:09.0,Personal foul by K. Caldwell-Pope (drawn by K. Looney),0-4, 
10:03.0,Turnover by K. Thompson (out of bounds lost ball),0-4, 
9:50.0, ,0-6,J. Murray makes 2-pt jump shot from 13 ft
9:35.0,S. Curry misses 3-pt jump shot from 27 ft,0-6, 
9:32.0, ,0-6,Defensive rebound by N. Jokić
9:21.0, ,0-6,K. Caldwell-Pope misses 3-pt jump shot from 22 ft
9:18.0,Defensive rebound by K. Thompson,0-6, 
9:08.0,J. Kuminga misses 3-pt jump shot from 26 ft,0-6, 
9:05.0,Offensive rebound by B. Podziemski,0-6, 
9:04.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by B. Podziemski),3-6, 
8:45.0, ,3-6,J. Murray misses 2-pt jump shot from 10 ft
8:41.0,Defensive rebound by J. Kuminga,3-6, 
8:34.0,K. Thompson misses 2-pt jump shot from 20 ft,3-6, 
8:30.0, ,3-6,Defensive rebound by M. Porter
8:25.0, ,3-6,M. Porter misses 3-pt jump shot from 26 ft
8:21.0, ,3-6,Offensive rebound by N. Jokić
8:17.0, ,3-6,A. Gordon misses 3-pt jump shot from 23 ft
8:14.0,Defensive rebound by K. Looney,3-6, 
7:55.0,Shooting foul by J. Murray (drawn by B. Podziemski),3-6, 
7:55.0,B. Podziemski makes free throw 1 of 2,4-6, 
7:55.0,B. Podziemski makes free throw 2 of 2,5-6, 
7:43.0, ,5-8,M. Porter makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope)
7:43.0,Golden State full timeout,5-8, 
7:28.0,S. Curry misses 2-pt jump shot from 13 ft,5-8, 
7:26.0,Offensive rebound by S. Curry,5-8, 
7:23.0,B. Podziemski misses 2-pt jump shot from 14 ft,5-8, 
7:20.0,Offensive rebound by B. Podziemski,5-8, 
7:17.0,J. Kuminga makes 2-pt jump shot from 5 ft (assist by B. Podziemski),7-8, 
6:58.0, ,7-11,M. Porter makes 3-pt jump shot from 24 ft (assist by N. Jokić)
6:40.0,J. Kuminga misses 2-pt layup from 3 ft,7-11, 
6:37.0, ,7-11,Defensive rebound by A. Gordon
6:25.0, ,7-11,J. Murray misses 2-pt jump shot from 8 ft (block by S. Curry)
6:25.0, ,7-11,Offensive rebound by J. Murray
6:25.0, ,7-11,J. Murray misses 2-pt layup from 1 ft
6:25.0, ,7-11,Offensive rebound by Team
6:25.0,C. Paul enters the game for B. Podziemski,7-11, 
6:20.0, ,7-14,M. Porter makes 3-pt jump shot from 23 ft (assist by A. Gordon)
5:53.0,Turnover by K. Looney (lost ball; steal by A. Gordon),7-14, 
5:49.0, ,7-14,Offensive foul by A. Gordon (drawn by S. Curry)
5:49.0, ,7-14,Turnover by A. Gordon (offensive foul)
5:49.0,T. Jackson-Davis enters the game for K. Looney,7-14, 
5:39.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),10-14, 
5:20.0, ,10-14,M. Porter misses 2-pt layup from 2 ft (block by K. Thompson)
5:17.0,Defensive rebound by K. Thompson,10-14, 
5:12.0,K. Thompson misses 2-pt jump shot from 12 ft,10-14, 
5:10.0, ,10-14,Defensive rebound by M. Porter
4:57.0, ,10-17,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by M. Porter)
4:34.0,Shooting foul by A. Gordon (drawn by J. Kuminga),10-17, 
4:34.0,J. Kuminga makes free throw 1 of 2,11-17, 
4:34.0,A. Wiggins enters the game for K. Thompson,11-17, 
4:34.0, ,11-17,P. Watson enters the game for A. Gordon
4:34.0,J. Kuminga makes free throw 2 of 2,12-17, 
4:23.0, ,12-19,M. Porter makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope)
4:07.0,J. Kuminga makes 2-pt layup from 1 ft,14-19, 
3:54.0, ,14-19,J. Murray misses 2-pt jump shot from 4 ft
3:54.0, ,14-19,Offensive rebound by Team
3:54.0,D. Šarić enters the game for J. Kuminga,14-19, 
3:49.0, ,14-21,N. Jokić makes 2-pt hook shot from 6 ft (assist by J. Murray)
3:39.0,T. Jackson-Davis misses 2-pt dunk from 2 ft (block by M. Porter),14-21, 
3:36.0, ,14-21,Defensive rebound by N. Jokić
3:32.0, ,14-24,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by N. Jokić)
3:21.0,A. Wiggins makes 3-pt jump shot from 23 ft (assist by S. Curry),17-24, 
2:59.0, ,17-24,Personal foul by T. Jackson-Davis (drawn by M. Porter)
2:59.0, ,17-24,Denver full timeout
2:59.0,B. Podziemski enters the game for S. Curry,17-24, 
2:59.0, ,17-24,R. Jackson enters the game for J. Murray
2:51.0, ,17-26,P. Watson makes 2-pt dunk from 2 ft (assist by N. Jokić)
2:33.0,A. Wiggins misses 3-pt jump shot from 24 ft,17-26, 
2:28.0, ,17-26,Defensive rebound by N. Jokić
2:21.0, ,17-26,M. Porter misses 3-pt jump shot from 26 ft
2:18.0,Defensive rebound by D. Šarić,17-26, 
2:13.0,D. Šarić misses 3-pt jump shot from 27 ft,17-26, 
2:13.0,Offensive rebound by Team,17-26, 
2:13.0, ,17-26,C. Braun enters the game for K. Caldwell-Pope
2:13.0, ,17-26,Z. Nnaji enters the game for N. Jokić
2:13.0, ,17-26,J. Strawther enters the game for M. Porter
2:08.0,Personal foul by Z. Nnaji (drawn by B. Podziemski),17-26, 
2:01.0,Turnover by A. Wiggins (bad pass; steal by Z. Nnaji),17-26, 
1:43.0, ,17-26,Turnover by P. Watson (back court)
1:33.0,B. Podziemski makes 3-pt jump shot from 24 ft,20-26, 
1:16.0, ,20-26,R. Jackson misses 2-pt jump shot from 17 ft
1:13.0,Defensive rebound by C. Paul,20-26, 
1:08.0,T. Jackson-Davis makes 2-pt dunk from 1 ft (assist by D. Šarić),22-26, 
1:08.0, ,22-26,Denver full timeout
0:57.0, ,22-26,Personal foul by A. Wiggins (drawn by Z. Nnaji)
0:53.0, ,22-29,C. Braun makes 3-pt jump shot from 25 ft (assist by R. Jackson)
0:35.0,D. Šarić makes 2-pt layup from 1 ft (assist by C. Paul),24-29, 
0:29.0, ,24-29,Turnover by R. Jackson (bad pass; steal by B. Podziemski)
0:05.0,C. Paul misses 3-pt jump shot from 22 ft,24-29, 
0:01.0,Offensive rebound by D. Šarić,24-29, 
0:01.0,D. Šarić makes 2-pt layup from 2 ft,26-29, 
11:40.0,D. Šarić makes 2-pt hook shot from 6 ft,28-29, 
11:21.0, ,28-32,M. Porter makes 3-pt jump shot from 23 ft (assist by R. Jackson)
11:09.0,D. Šarić misses 2-pt jump shot from 19 ft,28-32, 
11:01.0,Offensive rebound by A. Wiggins,28-32, 
11:01.0,A. Wiggins misses 2-pt layup at rim,28-32, 
11:01.0, ,28-32,Defensive rebound by M. Porter
10:56.0, ,28-34,M. Porter makes 2-pt jump shot from 21 ft (assist by C. Braun)
10:37.0,B. Podziemski makes 3-pt jump shot from 27 ft (assist by C. Paul),31-34, 
10:15.0, ,31-34,R. Jackson misses 2-pt jump shot from 11 ft
10:15.0,Defensive rebound by K. Thompson,31-34, 
9:59.0,C. Paul makes 3-pt jump shot from 25 ft (assist by D. Šarić),34-34, 
9:40.0, ,34-37,P. Watson makes 3-pt jump shot from 22 ft (assist by R. Jackson)
9:25.0,Shooting foul by C. Braun (drawn by A. Wiggins),34-37, 
9:25.0,A. Wiggins makes free throw 1 of 2,35-37, 
9:25.0,A. Wiggins makes free throw 2 of 2,36-37, 
9:07.0, ,36-37,Turnover by P. Watson (back court)
8:54.0,C. Paul makes 3-pt jump shot from 24 ft (assist by A. Wiggins),39-37, 
8:52.0, ,39-37,Denver full timeout
8:52.0, ,39-37,K. Caldwell-Pope enters the game for C. Braun
8:52.0, ,39-37,A. Gordon enters the game for Z. Nnaji
8:52.0, ,39-37,N. Jokić enters the game for P. Watson
8:42.0, ,39-37,Turnover by N. Jokić (bad pass)
8:42.0, ,39-37,Violation by Team (delay of game)
8:30.0,D. Šarić makes 2-pt layup from 1 ft,41-37, 
8:18.0, ,41-37,Turnover by R. Jackson (bad pass; steal by B. Podziemski)
8:14.0,Shooting foul by N. Jokić (drawn by A. Wiggins),41-37, 
8:14.0,A. Wiggins makes free throw 1 of 2,42-37, 
8:14.0, ,42-37,J. Murray enters the game for R. Jackson
8:14.0,A. Wiggins makes free throw 2 of 2,43-37, 
7:59.0, ,43-37,Shooting foul by A. Wiggins (drawn by A. Gordon)
7:59.0, ,43-37,A. Gordon misses free throw 1 of 2
7:59.0, ,43-37,Offensive rebound by Team
7:59.0,S. Curry enters the game for C. Paul,43-37, 
7:59.0,J. Kuminga enters the game for A. Wiggins,43-37, 
7:59.0, ,43-37,A. Gordon misses free throw 2 of 2
7:56.0,Defensive rebound by J. Kuminga,43-37, 
7:47.0,K. Thompson misses 3-pt jump shot from 24 ft,43-37, 
7:44.0, ,43-37,Defensive rebound by J. Murray
7:37.0, ,43-37,K. Caldwell-Pope misses 3-pt jump shot from 26 ft
7:34.0,Defensive rebound by B. Podziemski,43-37, 
7:25.0,B. Podziemski misses 2-pt jump shot from 19 ft,43-37, 
7:22.0, ,43-37,Defensive rebound by N. Jokić
7:13.0, ,43-37,N. Jokić misses 2-pt hook shot from 3 ft
7:10.0,Defensive rebound by J. Kuminga,43-37, 
7:06.0,Turnover by J. Kuminga (bad pass; steal by J. Murray),43-37, 
7:00.0, ,43-37,Shooting foul by J. Kuminga (drawn by N. Jokić)
7:00.0, ,43-38,N. Jokić makes free throw 1 of 2
7:00.0,T. Jackson-Davis enters the game for D. Šarić,43-38, 
7:00.0, ,43-39,N. Jokić makes free throw 2 of 2
6:52.0,S. Curry misses 3-pt jump shot from 29 ft,43-39, 
6:48.0, ,43-39,Defensive rebound by K. Caldwell-Pope
6:36.0, ,43-39,K. Caldwell-Pope misses 3-pt jump shot from 22 ft
6:32.0,Defensive rebound by T. Jackson-Davis,43-39, 
6:12.0,J. Kuminga misses 2-pt jump shot from 13 ft (block by M. Porter),43-39, 
6:10.0, ,43-39,Defensive rebound by K. Caldwell-Pope
5:59.0, ,43-42,A. Gordon makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope)
5:57.0,Golden State full timeout,43-42, 
5:57.0,M. Moody enters the game for K. Thompson,43-42, 
5:46.0,Def 3 sec tech foul by Team,43-42, 
5:46.0,S. Curry makes technical free throw,44-42, 
5:41.0,Turnover by B. Podziemski (bad pass; steal by J. Murray),44-42, 
5:37.0, ,44-42,Turnover by J. Murray (bad pass; steal by B. Podziemski)
5:32.0,Turnover by B. Podziemski (bad pass; steal by K. Caldwell-Pope),44-42, 
5:27.0, ,44-44,J. Murray makes 2-pt layup at rim (assist by K. Caldwell-Pope)
5:16.0,Shooting foul by J. Murray (drawn by T. Jackson-Davis),44-44, 
5:16.0,T. Jackson-Davis makes free throw 1 of 2,45-44, 
5:16.0,C. Paul enters the game for B. Podziemski,45-44, 
5:16.0,T. Jackson-Davis makes free throw 2 of 2,46-44, 
5:09.0, ,46-44,N. Jokić misses 2-pt jump shot from 13 ft
5:06.0, ,46-44,Offensive rebound by N. Jokić
5:04.0, ,46-44,J. Murray misses 3-pt jump shot from 24 ft
4:56.0, ,46-44,Offensive rebound by A. Gordon
4:56.0, ,46-46,A. Gordon makes 2-pt dunk at rim
4:45.0,S. Curry misses 3-pt jump shot from 26 ft,46-46, 
4:42.0, ,46-46,Defensive rebound by J. Murray
4:34.0, ,46-49,J. Murray makes 3-pt jump shot from 25 ft
4:16.0,C. Paul misses 2-pt jump shot from 16 ft,46-49, 
4:13.0, ,46-49,Defensive rebound by A. Gordon
4:06.0, ,46-49,Shooting foul by T. Jackson-Davis (drawn by N. Jokić)
4:06.0, ,46-50,N. Jokić makes free throw 1 of 2
4:06.0, ,46-51,N. Jokić makes free throw 2 of 2
3:48.0,Turnover by S. Curry (step out of bounds),46-51, 
3:26.0, ,46-53,J. Murray makes 2-pt jump shot from 18 ft (assist by N. Jokić)
3:25.0,Golden State full timeout,46-53, 
3:25.0,K. Looney enters the game for T. Jackson-Davis,46-53, 
3:25.0,K. Thompson enters the game for J. Kuminga,46-53, 
3:25.0,A. Wiggins enters the game for M. Moody,46-53, 
3:13.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Looney),49-53, 
2:52.0, ,49-53,M. Porter misses 3-pt jump shot from 23 ft
2:52.0,Defensive rebound by Team,49-53, 
2:46.0,S. Curry makes 3-pt jump shot from 27 ft,52-53, 
2:27.0, ,52-53,J. Murray misses 2-pt jump shot from 18 ft
2:24.0,Defensive rebound by K. Looney,52-53, 
2:19.0,Turnover by S. Curry (traveling),52-53, 
1:57.0, ,52-53,K. Caldwell-Pope misses 3-pt jump shot from 26 ft
1:55.0,Defensive rebound by K. Looney,52-53, 
1:42.0,Personal foul by J. Murray (drawn by A. Wiggins),52-53, 
1:42.0, ,52-53,R. Jackson enters the game for J. Murray
1:26.0,K. Looney makes 2-pt layup from 3 ft,54-53, 
1:10.0, ,54-53,N. Jokić misses 3-pt jump shot from 24 ft
1:06.0,Defensive rebound by A. Wiggins,54-53, 
0:54.0,C. Paul misses 2-pt jump shot from 10 ft,54-53, 
0:52.0, ,54-53,Defensive rebound by Team
0:40.0, ,54-53,Turnover by R. Jackson (bad pass)
0:40.0, ,54-53,P. Watson enters the game for R. Jackson
0:33.0, ,54-53,Violation by Team (kicked ball)
0:32.0,Turnover by K. Thompson (traveling),54-53, 
0:24.0, ,54-53,Personal foul by A. Wiggins (drawn by A. Gordon)
0:24.0,B. Podziemski enters the game for A. Wiggins,54-53, 
0:13.0, ,54-53,M. Porter misses 3-pt jump shot from 24 ft
0:10.0,Defensive rebound by Team,54-53, 
0:10.0,T. Jackson-Davis enters the game for K. Looney,54-53, 
0:10.0, ,54-53,C. Braun enters the game for A. Gordon
0:00.0,K. Thompson misses 3-pt jump shot from 27 ft,54-53, 
0:00.0, ,54-53,Defensive rebound by M. Porter
0:00.0, ,54-53,M. Porter misses 3-pt jump shot from 66 ft
0:00.0, ,54-53,Offensive rebound by Team
11:47.0,S. Curry misses 3-pt jump shot from 27 ft,54-53, 
11:43.0,Offensive rebound by B. Podziemski,54-53, 
11:42.0,S. Curry misses 3-pt jump shot from 26 ft,54-53, 
11:39.0, ,54-53,Defensive rebound by M. Porter
11:32.0, ,54-53,Personal foul by K. Thompson (drawn by A. Gordon)
11:21.0, ,54-55,A. Gordon makes 2-pt dunk at rim (assist by K. Caldwell-Pope)
